Index,X,Y,Area
570,1568,1730,918.5
571,3051,1718,108.0
572,2158,1716,167.0
573,2116,1714,68.5
574,1396,1715,157.5
575,3153,1709,56.5
576,2791,1709,58.5
577,1185,1716,431.0
578,1070,1712,159.0
579,3306,1708,67.0
580,2307,1711,249.0
581,2361,1701,7.0
582,802,1704,121.5
583,1861,1703,92.5
584,2024,1704,392.5
585,2902,1700,250.5
586,1903,1693,70.0
587,1727,1693,100.0
588,2219,1697,271.5
589,1388,1689,38.0
590,2289,1687,88.0
591,2047,1686,35.0
592,1336,1693,173.5
593,1676,1694,750.5
594,769,1679,11.5
595,718,1689,279.0
596,2180,1679,26.0
597,1098,1678,78.5
598,2317,1676,142.0
599,3448,1676,228.0
600,3015,1681,606.5
601,3159,1670,13.5
602,1918,1676,58.0
603,1595,1673,111.5
604,3261,1672,189.5
605,3098,1669,60.5
606,2423,1697,2911.0
607,2855,1670,105.5
608,2349,1682,788.5
609,1890,1667,38.0
610,891,1668,80.0
611,2821,1678,945.0
612,1721,1665,86.0
613,3393,1664,70.0
614,2600,1664,73.0
615,2390,1665,98.5
616,1265,1668,436.5
617,2223,1653,65.5
618,762,1649,3.0
619,2632,1650,49.0
620,3105,1649,269.0
621,2091,1639,66.0
622,1999,1660,2026.5
623,886,1633,17.0
624,1487,1633,32.5
625,3148,1630,5.5
626,2270,1630,27.5
627,1892,1630,46.5
628,1438,1650,973.5
629,775,1626,1.0
630,3385,1630,126.5
631,2309,1629,39.0
632,1214,1627,5.0
633,2765,1633,341.0
634,1337,1624,5.0
635,2976,1632,359.0
636,3471,1622,52.5
637,2869,1619,8.5
638,2064,1619,6.5
639,3087,1623,159.0
640,2358,1622,147.5
641,997,1628,554.5
642,740,1626,650.5
643,3270,1609,101.5
644,921,1630,1456.0
645,2803,1605,27.5
646,2981,1605,61.5
647,2924,1607,131.5
648,2769,1606,148.0
649,1189,1603,45.0
650,1725,1598,86.5
651,2995,1598,64.5
652,1834,1596,48.5
653,2184,1603,436.0
654,2450,1594,70.0
655,1895,1593,54.0
656,3442,1599,539.0
657,2105,1599,633.0
658,1781,1586,24.0
659,3475,1585,14.0
660,3227,1578,25.5
661,1943,1582,116.5
662,2538,1578,70.0
663,2161,1583,357.0
664,1855,1575,29.5
665,1288,1603,2306.5
666,1086,1575,31.0
667,2597,1604,3098.5
668,2984,1576,143.5
669,1464,1577,251.5
670,3293,1568,44.0
671,3203,1567,148.5
672,2486,1569,239.0
673,1690,1563,4.0
674,2831,1563,85.0
675,2688,1561,34.5
676,1893,1559,2.0
677,1449,1561,44.0
678,742,1563,156.5
679,1849,1557,11.0
680,841,1559,30.0
681,934,1567,421.0
682,1918,1557,82.5
683,3240,1555,92.0
684,921,1550,3.0
685,2231,1548,4.0
686,3142,1579,2147.5
687,1612,1549,88.0
688,1634,1548,106.5
689,3021,1543,19.0
690,2715,1561,1237.5
691,3353,1547,211.5
692,2957,1544,112.0
693,859,1544,61.0
694,692,1540,4.0
695,1072,1547,273.0
696,1941,1545,404.5
697,1398,1534,1.5
698,1655,1538,74.5
699,1705,1546,954.5
700,2502,1532,110.0
701,1457,1539,541.5
702,3003,1526,19.0
703,1424,1527,128.5
704,1317,1533,268.0
705,2805,1516,70.5
706,2205,1517,84.5
707,2329,1558,3583.0
708,2417,1555,3379.5
709,1232,1517,207.5
710,1158,1511,84.5
711,1005,1519,486.5
712,2481,1505,3.5
713,3155,1508,69.0
714,3277,1502,2.5
715,1746,1512,448.0
716,1466,1502,41.5
717,3456,1503,116.0
718,1813,1513,1042.5
719,1267,1508,608.0
720,2455,1497,49.5
721,850,1495,12.0
722,2264,1503,445.5
723,2700,1497,103.0
724,1766,1495,76.5
725,1226,1494,24.5
726,1067,1493,23.0
727,2337,1491,18.0
728,1537,1495,83.5
729,1104,1491,12.5
730,2876,1506,1514.0
731,937,1498,469.0
732,2662,1496,349.0
733,1397,1490,114.0
734,3403,1483,66.5
735,3156,1481,62.0
736,1967,1482,55.5
737,3184,1480,52.0
738,994,1477,31.0
739,3067,1476,26.0
740,2226,1475,30.5
741,1604,1476,55.5
742,1121,1474,23.5
743,2039,1475,48.0
744,2353,1475,75.0
745,2698,1470,22.5
746,3439,1468,45.5
747,2867,1470,57.0
748,1882,1491,1837.5
749,3220,1467,50.0
750,1459,1477,682.5
751,2359,1460,1.0
752,992,1462,26.0
753,2996,1462,64.0
754,2612,1467,431.0
755,3089,1457,11.0
756,1382,1456,1.0
757,2090,1459,156.0
758,3383,1461,354.5
759,1363,1453,42.0
760,1339,1451,23.5
761,3073,1453,231.5
762,2848,1456,427.0
763,1894,1445,9.5
764,1285,1451,166.5
765,1914,1441,15.0
766,1072,1454,587.5
767,1486,1445,152.5
768,2532,1451,721.5
769,2135,1453,826.5
770,886,1452,552.0
771,3311,1460,1776.5
772,2584,1435,4.5
773,2286,1439,131.0
774,943,1436,43.0
775,3274,1435,29.0
776,2384,1439,278.5
777,1152,1433,16.5
778,3040,1447,908.5
779,1374,1438,231.0
780,2293,1430,2.0
781,1970,1434,105.5
782,2594,1444,301.5
783,824,1444,1039.0
784,1291,1432,56.0
785,1131,1429,111.0
786,3424,1425,46.5
787,3124,1427,135.5
788,2762,1460,4142.5
789,3223,1422,36.5
790,3175,1438,1053.5
791,1395,1418,61.0
792,2058,1426,703.5
793,1538,1433,1005.5
794,3424,1409,47.0
795,2616,1407,71.5
796,3047,1411,326.5
797,1903,1412,325.0
798,3162,1401,11.0
799,1952,1405,79.5
800,2020,1400,12.0
801,3466,1423,774.0
802,1301,1404,244.5
803,916,1405,417.0
804,2383,1395,12.5
805,2360,1408,538.0
806,3144,1397,58.5
807,3344,1398,190.0
808,3269,1396,80.5
809,2964,1395,32.5
810,2635,1396,98.0
811,802,1392,7.5
812,1242,1409,1266.0
813,3010,1393,71.5
814,2492,1388,11.5
815,1082,1404,1756.5
816,3104,1390,57.0
817,2241,1387,57.0
818,1175,1385,79.5
819,1198,1388,172.5
820,2149,1391,446.0
821,2322,1382,25.5
822,2502,1382,73.0
823,986,1378,32.0
824,2651,1380,93.0
825,2509,1367,9.0
826,2638,1367,124.5
827,3297,1364,41.0
828,1617,1385,2449.5
829,1219,1363,91.5
830,3328,1359,37.0
831,2935,1362,146.0
832,1808,1412,7189.5
833,2467,1354,15.0
834,2967,1355,121.0
835,1438,1372,3066.0
836,941,1353,58.5
837,1936,1350,1.0
838,1396,1348,1.5
839,853,1348,6.5
840,2017,1350,79.0
841,2576,1356,512.5
842,1288,1343,9.0
843,897,1347,76.5
844,3209,1348,370.5
845,2353,1341,169.5
846,1957,1334,4.0
847,3312,1340,194.0
848,3005,1337,91.5
849,2892,1343,455.0
850,2396,1337,116.0
851,1810,1330,3.5
852,2112,1346,1163.0
853,2070,1333,76.0
854,1071,1333,108.0
855,894,1329,65.0
856,3261,1329,107.5
857,2721,1331,216.0
858,2235,1327,80.0
859,3409,1330,173.5
860,1536,1349,1646.5
861,2214,1319,12.5
862,884,1320,15.5
863,1663,1331,567.5
864,964,1321,137.0
865,3079,1315,164.5
866,3205,1309,20.0
867,892,1308,10.5
868,1056,1309,22.0
869,1641,1306,72.5
870,3456,1311,452.0
871,3032,1304,53.5
872,2589,1304,86.5
873,3361,1300,2.0
874,1234,1299,32.5
875,996,1316,833.5
876,1921,1304,253.5
877,2208,1302,233.0
878,2580,1293,44.0
879,2604,1292,18.5
880,3284,1289,54.0
881,3254,1292,153.5
882,1251,1291,94.0
883,1191,1292,147.0
884,3198,1294,284.0
885,1499,1291,174.5
886,1379,1290,104.5
887,2333,1284,2.5
888,3163,1283,52.5
889,3327,1278,1.0
890,2346,1278,9.0
891,3350,1277,9.5
892,2431,1277,13.5
893,1707,1278,49.0
894,2851,1279,93.5
895,808,1285,442.0
896,2600,1272,5.0
897,1767,1276,52.0
898,1682,1273,100.5
899,2908,1273,121.0
900,2314,1270,47.0
901,1806,1273,179.5
902,905,1269,18.5
903,2627,1272,172.0
904,1167,1270,99.5
905,1122,1282,724.0
906,2149,1273,458.5
907,2271,1294,2978.0
908,1927,1261,94.0
909,2379,1264,222.5
910,2415,1256,54.0
911,763,1253,16.5
912,1111,1253,42.5
913,2476,1250,9.0
914,1910,1249,1.5
915,2902,1251,60.5
916,3266,1264,970.5
917,1265,1248,31.5
918,2025,1284,4147.0
919,1589,1261,811.0
920,1229,1259,591.0
921,996,1244,12.0
922,2394,1249,117.0
923,2114,1248,142.5
924,1197,1250,254.0
925,917,1245,31.5
926,3308,1262,759.5
927,1888,1240,2.0
928,1829,1251,382.0
929,1474,1253,316.5
930,1247,1239,12.5
931,2622,1242,85.5
932,830,1240,131.5
933,3136,1239,84.5
934,1024,1236,30.5
935,963,1238,132.0
936,1443,1234,72.0
937,2824,1231,30.5
938,1047,1230,40.0
939,2800,1228,71.0
940,1557,1236,675.0
941,2923,1222,5.0
942,1339,1247,2914.0
943,3223,1232,852.0
944,1090,1223,115.5
945,1941,1231,669.0
946,1863,1219,96.0
947,3012,1214,3.0
948,3111,1215,51.0
949,2481,1213,76.5
950,3082,1211,169.5
951,900,1210,89.5
952,2443,1206,60.0
953,3370,1204,67.5
954,2717,1217,893.0
955,2810,1203,122.0
